Item_id,Location1,Location2,room_size,area,current_floor,total_from,building_type,repair_status,bill_of_sale,price (AZN)
5007666,abseron,Məmmədli q.,3,109,10,10,new,Yes,Yes,145000
5034475,abseron,Masazır q.,3,60,1,6,new,Yes,Yes,76000
5036600,abseron,Masazır q.,2,44,6,6,new,Yes,Yes,53500
5041311,abseron,Masazır q.,2,44,6,6,new,Yes,Yes,53500
4605563,abseron,Masazır q.,2,75,5,6,new,Yes,Yes,85000
5056547,abseron,Saray q.,2,91,5,14,new,Yes,Yes,175000
5053776,abseron,Masazır q.,2,48,6,6,new,Yes,Yes,55000
5052216,abseron,Məmmədli q.,2,65,6,10,new,No,Yes,96000
5056509,abseron,Abşeron r.,2,70,7,11,new,Yes,Yes,91000
5056507,abseron,Masazır q.,2,54,3,6,new,Yes,Yes,74000
4770998,abseron,Masazır q.,2,60,5,6,new,Yes,Yes,78000
5019142,abseron,Masazır q.,2,55,2,8,new,Yes,No,72000
4993142,abseron,Masazır q.,2,54,2,5,new,Yes,Yes,73000
4709123,abseron,Masazır q.,2,41,6,7,new,Yes,Yes,65000
4803999,abseron,Mehdiabad q.,3,57,4,5,new,No,No,49590
5039384,abseron,Masazır q.,3,73,1,5,new,Yes,Yes,86000
4347857,abseron,Masazır q.,2,55,5,6,new,No,Yes,53000
5056421,abseron,Masazır q.,2,54,3,6,new,Yes,Yes,74000
4877843,abseron,Masazır q.,3,90,4,6,new,Yes,Yes,117000
4840061,abseron,Masazır q.,3,64,6,6,new,Yes,Yes,75000
4969331,abseron,Masazır q.,3,86,1,6,new,Yes,Yes,97000
5056327,abseron,Masazır q.,3,73,1,6,old,Yes,Yes,93000
5056316,abseron,Məmmədli q.,3,107,8,10,new,No,Yes,112000
5056314,abseron,Masazır q.,1,58,6,14,new,No,No,81000
4915562,abseron,Masazır q.,3,83,1,6,new,Yes,Yes,92000
4574490,abseron,Mehdiabad q.,3,108,1,4,old,Yes,Yes,100000
4831211,abseron,Masazır q.,1,54,6,6,new,No,No,38000
5053627,abseron,Masazır q.,2,48,6,6,new,Yes,Yes,55000
5036568,abseron,Masazır q.,2,50,5,8,new,Yes,No,62500
4497600,abseron,Masazır q.,4,82,5,6,new,Yes,No,89000
4755186,abseron,Masazır q.,2,54.1,5,6,new,No,No,53000
4823536,abseron,Mehdiabad q.,2,56,4,6,new,No,No,45500
4908629,abseron,Masazır q.,2,48,5,6,new,Yes,Yes,63000
4962196,abseron,Məmmədli q.,2,56,3,10,new,Yes,Yes,88000
5044883,abseron,Məmmədli q.,4,108,7,10,new,No,Yes,110000
5056079,abseron,Masazır q.,3,76,2,8,new,Yes,Yes,87000
4816013,abseron,Masazır q.,2,44,5,6,new,Yes,No,59000
4858756,abseron,Masazır q.,3,73,9,14,new,Yes,No,82500
4788809,abseron,Masazır q.,3,56,6,8,new,Yes,No,66000
4794849,abseron,Masazır q.,2,55,2,6,new,Yes,Yes,75500
4819651,abseron,Masazır q.,2,55,5,6,new,No,No,52500
4828556,abseron,Masazır q.,2,59,2,9,new,Yes,No,66000
4658897,abseron,Masazır q.,2,55,5,6,new,Yes,Yes,67000
4795829,abseron,Masazır q.,2,68,7,8,new,Yes,Yes,84000
4896583,abseron,Masazır q.,3,90,4,6,new,Yes,Yes,117000
4888000,abseron,Masazır q.,2,54,4,6,new,Yes,No,71000
4985345,abseron,Masazır q.,3,90,8,9,new,Yes,No,115000
5056004,abseron,Masazır q.,3,72,5,5,new,Yes,Yes,80000
5051724,abseron,Masazır q.,2,38,4,6,new,Yes,Yes,60000
4836402,abseron,Masazır q.,1,44,6,6,new,No,No,34000
4899468,abseron,Masazır q.,2,78,2,6,new,Yes,Yes,97000
4941048,abseron,Masazır q.,2,41,3,6,new,Yes,Yes,63500
5017076,abseron,Masazır q.,2,70,2,7,new,Yes,Yes,99500
5055981,abseron,Məmmədli q.,2,66,5,5,new,Yes,No,65000
5055939,abseron,Masazır q.,2,67.5,4,5,new,No,No,62500
5055935,abseron,Saray q.,1,51,5,10,new,Yes,No,49500
5008262,abseron,Masazır q.,2,76,6,6,new,Yes,Yes,68500
4985080,abseron,Masazır q.,3,65,10,12,new,Yes,Yes,82000
5055895,abseron,Masazır q.,2,41,4,6,new,Yes,Yes,65000
5055886,abseron,Ceyranbatan q.,2,52,5,10,new,Yes,Yes,67000
4950192,abseron,Masazır q.,3,85,6,14,new,Yes,Yes,117000
5055847,abseron,Masazır q.,3,85,5,14,new,Yes,Yes,125000
4974206,abseron,Masazır q.,3,75,1,6,new,Yes,Yes,82000
4983851,abseron,Məmmədli q.,3,62,3,7,new,Yes,Yes,104000
5005589,abseron,Masazır q.,2,45,4,4,new,Yes,Yes,47000
5055669,abseron,Abşeron r.,2,58,6,17,new,Yes,Yes,90000
4185979,abseron,Masazır q.,2,52,7,9,new,Yes,No,70000
5055657,abseron,Masazır q.,2,54,3,6,new,Yes,Yes,74000
5055648,abseron,Masazır q.,3,96,5,8,new,Yes,Yes,137000
5055581,abseron,Masazır q.,2,60,4,5,new,Yes,Yes,78500
4983238,abseron,Masazır q.,2,73,1,6,new,Yes,Yes,87500
4994817,abseron,Masazır q.,2,40,1,6,new,Yes,Yes,62000
5051876,abseron,Masazır q.,2,57,1,6,new,Yes,Yes,75500
5055540,abseron,Masazır q.,2,40,7,7,new,Yes,Yes,63000
5055462,abseron,Masazır q.,3,97,5,8,new,Yes,Yes,137000
5021047,abseron,Masazır q.,2,42,4,10,new,Yes,Yes,66000
4987478,abseron,Masazır q.,2,44,2,6,new,Yes,No,65500
4975317,abseron,Məmmədli q.,3,95,4,10,new,Yes,Yes,120000
5055368,abseron,Abşeron r.,3,128,11,13,new,No,No,127500
4650020,abseron,Masazır q.,2,70,1,6,new,Yes,Yes,85000
4944681,abseron,Saray q.,3,102.3,3,16,new,Yes,No,140000
4967495,abseron,Masazır q.,2,53,1,6,new,Yes,Yes,67000
4399931,abseron,Masazır q.,2,49,3,5,new,Yes,No,63000
4992871,abseron,Masazır q.,2,56,6,8,new,Yes,No,66000
4906283,abseron,Masazır q.,2,75,4,6,new,Yes,Yes,92000
4861789,abseron,Masazır q.,2,53.3,4,6,new,No,Yes,55500
4899527,abseron,Masazır q.,1,35,1,2,new,No,No,26000
4835246,abseron,Masazır q.,2,42,6,6,new,Yes,Yes,53500
5034909,abseron,Masazır q.,2,62,2,7,new,Yes,Yes,78000
4883486,abseron,Masazır q.,2,66,10,12,new,Yes,Yes,95000
4011396,abseron,Məmmədli q.,3,100,4,9,new,Yes,Yes,108500
5020913,abseron,Masazır q.,2,50.8,6,6,new,Yes,No,67000
4946003,abseron,Masazır q.,1,37,8,11,new,Yes,Yes,53000
5055096,abseron,Masazır q.,2,42,6,6,new,Yes,Yes,62000
4930871,abseron,Masazır q.,2,35,1,6,new,Yes,No,57500
4660327,abseron,Masazır q.,3,93,7,9,new,Yes,Yes,125000
5003591,abseron,Masazır q.,3,115,2,6,new,Yes,Yes,135000
4838043,abseron,Masazır q.,2,47,1,4,new,Yes,Yes,59000
4803775,abseron,Masazır q.,3,73,4,9,new,Yes,Yes,90000
4927809,abseron,Masazır q.,2,71,5,9,new,Yes,Yes,105000
4984257,abseron,Masazır q.,2,54,3,6,new,Yes,No,68500
4783120,abseron,Masazır q.,3,90,7,8,new,Yes,Yes,148000
5047023,abseron,Masazır q.,2,51,4,6,new,Yes,No,68000
5046365,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
5028438,abseron,Masazır q.,3,73,1,5,new,Yes,Yes,86000
